Gamli Vesturbærinn	6.412
Vesturbær-syðri	11.088
Austurbær	7.940
Norðurmýri	7.900
Hlíðar	4.960
Laugarnes	4.845
Laugaráshverfi	5.513
Heimar - Vogar	4.096
Háaleiti	3.172
Bústaðahverfi	7.637
Fossvogur	4.178
Ártúnsholt	1.639
Árbær	4.257
Selás	2.577
Norðlingaholt	2.834
Breiðholt - Bakkar	4.059
Efra - Breiðholt	9.284
Seljahverfi	8.659
Hamrahverfi	2.740
Foldahverfi	3.229
Húsahverfi	1.946
Rimahverfi	4.164
Engjahverfi	1.941
Víkurhverfi	1.384
Borgarhverfi	1.514
Staðahverfi	1.194
Grafarholt-vestra	2.530
Grafarholt-eystra	2.784
Úlfarsárdalur	2.089
Grundarhverfi	563
Kjalarnes	786
Óstaðsettir í Reykjavík	879
