,SVFNR,HEINUM,POSTNR,HEITI_NF,HEITI_TGF,HUSNR,NAKV_XY,HNIT,N_HNIT_WGS84,E_HNIT_WGS84,HUSMERKING,municipality,houses
57479,0,1000751,161.0,2.Gata v/Rauðavatn,2.Gata v/Rauðavatn,29.0,,POINT (365037.809090909 404228.736363636),64.11438661,-21.77029401,29,Reykjavík,"2.Gata v/Rauðavatn 29, 161"
29096,0,1000768,161.0,3.Gata v/Rauðavatn,3.Gata v/Rauðavatn,4.0,,POINT (365099.684090909 403801.156818182),64.11057921,-21.76864142,4,Reykjavík,"3.Gata v/Rauðavatn 4, 161"
57480,0,1000770,161.0,3.Gata v/Rauðavatn,3.Gata v/Rauðavatn,6.0,,POINT (365110.338636364 403844.743181818),64.11097399,-21.76846218,6,Reykjavík,"3.Gata v/Rauðavatn 6, 161"
29099,0,1000785,161.0,4.Gata v/Rauðavatn,4.Gata v/Rauðavatn,1.0,,POINT (365196.568181818 403737.229545455),64.11004437,-21.76659817,1,Reykjavík,"4.Gata v/Rauðavatn 1, 161"
29098,0,1000792,161.0,5.Gata v/Rauðavatn,5.Gata v/Rauðavatn,1.0,,POINT (365271.609090909 403712.045454545),64.10984813,-21.76503746,1,Reykjavík,"5.Gata v/Rauðavatn 1, 161"
57481,0,1000791,161.0,5.Gata v/Rauðavatn,5.Gata v/Rauðavatn,2.0,,POINT (365299.697727273 403701.390909091),64.10976366,-21.76445217,2,Reykjavík,"5.Gata v/Rauðavatn 2, 161"
74052,0,1140734,161.0,A gata,A götu,1.0,,POINT (366736 402386),64.09853589,-21.7338452,1,Reykjavík,"A gata 1, 161"
74048,0,1140743,161.0,A gata,A götu,10.0,,POINT (366796 402467),64.09928504,-21.73268765,10,Reykjavík,"A gata 10, 161"
74047,0,1140744,161.0,A gata,A götu,11.0,,POINT (366791 402495),64.09953402,-21.73281491,11,Reykjavík,"A gata 11, 161"
11413,0,1140745,161.0,A gata,A götu,12.0,,POINT (366816 402488),64.09948098,-21.73229647,12,Reykjavík,"A gata 12, 161"
11412,0,1140746,161.0,A gata,A götu,13.0,,POINT (366804 402519),64.09975414,-21.73256982,13,Reykjavík,"A gata 13, 161"
106768,0,1140747,161.0,A gata,A götu,14.0,,POINT (366827 402512),64.09970032,-21.73209235,14,Reykjavík,"A gata 14, 161"
74046,0,1140748,161.0,A gata,A götu,15.0,,POINT (366815 402541),64.09995556,-21.73236392,15,Reykjavík,"A gata 15, 161"
11411,0,1140749,161.0,A gata,A götu,16.0,,POINT (366832 402534),64.09989942,-21.73200939,16,Reykjavík,"A gata 16, 161"
74045,0,1140750,161.0,A gata,A götu,17.0,,POINT (366827 402563),64.10015736,-21.73213754,17,Reykjavík,"A gata 17, 161"
11410,0,1140751,161.0,A gata,A götu,18.0,,POINT (366845 402555),64.10009265,-21.73176163,18,Reykjavík,"A gata 18, 161"
11409,0,1140752,161.0,A gata,A götu,19.0,,POINT (366838 402591),64.10041255,-21.73193695,19,Reykjavík,"A gata 19, 161"
11416,0,1140735,161.0,A gata,A götu,2.0,,POINT (366754 402376),64.09845325,-21.73346754,2,Reykjavík,"A gata 2, 161"
74044,0,1140753,161.0,A gata,A götu,20.0,,POINT (366856 402577),64.10029406,-21.73155572,20,Reykjavík,"A gata 20, 161"
74043,0,1140754,161.0,A gata,A götu,21.0,,POINT (366845 402609),64.10057657,-21.73180947,21,Reykjavík,"A gata 21, 161"
113648,0,1140755,161.0,A gata,A götu,22.0,,POINT (366868 402599),64.10049587,-21.73132933,22,Reykjavík,"A gata 22, 161"
